"Fold","Accuracy.empirique","Accuracy.generalization","Precision.empirique","Precision.generalization","Recall.empirique","Recall.generalization","F1.empirique","F1.generalization","Methods"
"fold1","0.936213991769547","0.611111111111111","0.936330369451337","0.625934829059829","0.936204443842298","0.607142857142857","0.936267402412648","0.616395649281327","Logistic Regression"
"fold2","0.802874743326489","0.735849056603774","0.803120525339781","0.741380494505494","0.802855304159328","0.737637362637363","0.802987892849388","0.739504191970003","Logistic Regression"
"fold3","0.847736625514403","0.814814814814815","0.847947202209914","0.829761904761905","0.847734046877117","0.817307692307692","0.847840611146187","0.823487712665406","Logistic Regression"
"fold4","0.88659793814433","0.727272727272727","0.886895882207895","0.746561771561772","0.886583796233573","0.726648351648352","0.886739811761255","0.736470476495171","Logistic Regression"
"fold5","0.86652977412731","0.622641509433962","0.866349202447681","0.653422619047619","0.866396829697873","0.622252747252747","0.866373015418222","0.637456880583412","Logistic Regression"
"fold6","0.915463917525773","0.727272727272727","0.915447432383454","0.738122171945701","0.915526351442894","0.726648351648352","0.91548689021238","0.73234032351144","Logistic Regression"
"fold7","0.874743326488706","0.867924528301887","0.874446830897322","0.876311188811189","0.874610486383959","0.870879120879121","0.874528650984196","0.873586710612762","Logistic Regression"
"fold8","0.909090909090909","0.75","0.90955921775434","0.754464285714286","0.909090909090909","0.75","0.909325003127079","0.752225519287834","Logistic Regression"
"fold9","0.928131416837782","0.641509433962264","0.928084525256783","0.662828947368421","0.928194011651538","0.64010989010989","0.928139265225315","0.65127134514281","Logistic Regression"
"fold10","0.862139917695473","0.740740740740741","0.861547911036514","0.754188948306595","0.862078309172199","0.739010989010989","0.861813028496703","0.74652282880544","Logistic Regression"
"fold1","1","0.62962962962963","1","0.635132575757576","1","0.626373626373626","1","0.630722693290284","Random Forest"
"fold2","1","0.716981132075472","1","0.730577837195484","1","0.721153846153846","1","0.725835253512896","Random Forest"
"fold3","1","0.851851851851852","1","0.857886904761905","1","0.853021978021978","1","0.855447524743012","Random Forest"
"fold4","1","0.709090909090909","1","0.728632478632479","1","0.710164835164835","1","0.719280136432995","Random Forest"
"fold5","1","0.716981132075472","1","0.708974358974359","1","0.722527472527473","1","0.715686756948272","Random Forest"
"fold6","1","0.8","1","0.795673076923077","1","0.798076923076923","1","0.79687318714468","Random Forest"
"fold7","1","0.792452830188679","1","0.804166666666667","1","0.793956043956044","1","0.799028736784804","Random Forest"
"fold8","1","0.75","1","0.753489647607295","1","0.75","1","0.751740774011737","Random Forest"
"fold9","1","0.69811320754717","1","0.725","1","0.695054945054945","1","0.709711743083769","Random Forest"
"fold10","1","0.759259259259259","1","0.758379120879121","1","0.762362637362637","1","0.76036566179733","Random Forest"
"fold1","0.676954732510288","0.444444444444444","0.719097714226494","0.533678955453149","0.677025470803414","0.438186813186813","0.697427667913733","0.481241521824842","KNN"
"fold2","0.691991786447639","0.547169811320755","0.74596439978397","0.607898351648352","0.691759246714537","0.550824175824176","0.717840000096231","0.577955637510495","KNN"
"fold3","0.664609053497942","0.648148148148148","0.706265601521856","0.7","0.664527164340875","0.649725274725275","0.68476094875718","0.673926317932017","KNN"
"fold4","0.655670103092784","0.6","0.707849302966324","0.664772727272727","0.655923994038748","0.597527472527473","0.680898127275018","0.629358955334619","KNN"
"fold5","0.671457905544148","0.471698113207547","0.7210162266267","0.557174185463659","0.671860181547216","0.467032967032967","0.695570820321364","0.508136879061927","KNN"
"fold6","0.65979381443299","0.6","0.714806859006394","0.661231884057971","0.659328004335456","0.604395604395604","0.685947489444835","0.631537554069996","KNN"
"fold7","0.657084188911704","0.528301886792453","0.703325036853074","0.596212121212121","0.657448177753692","0.521978021978022","0.67961326528789","0.556630955128539","KNN"
"fold8","0.667355371900826","0.5","0.717440635343465","0.560326086956522","0.667355371900826","0.5","0.691492262415139","0.528446950281907","KNN"
"fold9","0.675564681724846","0.452830188679245","0.718765625734652","0.536428571428571","0.675298062593145","0.457417582417582","0.696354174606445","0.493782381373602","KNN"
"fold10","0.676954732510288","0.592592592592593","0.713388000888001","0.602632661456191","0.676754504809646","0.59478021978022","0.694588563833337","0.5986806930915","KNN"
"fold1","1","0.722222222222222","1","0.716529304029304","1","0.721153846153846","1","0.718834137294916","Gradient Boosting"
"fold2","1","0.716981132075472","1","0.731837606837607","1","0.718406593406593","1","0.725059906416463","Gradient Boosting"
"fold3","1","0.907407407407407","1","0.910347985347985","1","0.907967032967033","1","0.909155950314794","Gradient Boosting"
"fold4","1","0.818181818181818","1","0.826416230827996","1","0.818681318681319","1","0.82253059076735","Gradient Boosting"
"fold5","1","0.679245283018868","1","0.698985042735043","1","0.681318681318681","1","0.690038807080963","Gradient Boosting"
"fold6","1","0.872727272727273","1","0.88422619047619","1","0.872252747252747","1","0.878198658997768","Gradient Boosting"
"fold7","1","0.849056603773585","1","0.848901098901099","1","0.851648351648352","1","0.850272506169114","Gradient Boosting"
"fold8","1","0.839285714285714","1","0.835644257703081","1","0.839285714285714","1","0.837461027558444","Gradient Boosting"
"fold9","1","0.69811320754717","1","0.720833333333333","1","0.697802197802198","1","0.709130813672014","Gradient Boosting"
"fold10","1","0.740740740740741","1","0.743315018315018","1","0.740384615384615","1","0.741846922981968","Gradient Boosting"
"fold1","1","0.685185185185185","1","0.713480392156863","1","0.684065934065934","1","0.698463616898672","Multiple Decision Trees"
"fold2","1","0.754716981132076","1","0.8","1","0.758241758241758","1","0.778561354019746","Multiple Decision Trees"
"fold3","1","0.851851851851852","1","0.856221903096903","1","0.853021978021978","1","0.854618945223141","Multiple Decision Trees"
"fold4","1","0.690909090909091","1","0.693582887700535","1","0.693681318681319","1","0.693632099698925","Multiple Decision Trees"
"fold5","1","0.660377358490566","1","0.664880952380952","1","0.660714285714286","1","0.662791070626724","Multiple Decision Trees"
"fold6","1","0.836363636363636","1","0.847064393939394","1","0.836538461538462","1","0.84176852352623","Multiple Decision Trees"
"fold7","1","0.811320754716981","1","0.820984162895928","1","0.81456043956044","1","0.81775968640208","Multiple Decision Trees"
"fold8","1","0.821428571428571","1","0.819391025641026","1","0.821428571428571","1","0.820408533437513","Multiple Decision Trees"
"fold9","1","0.641509433962264","1","0.671139705882353","1","0.638736263736264","1","0.654537189967938","Multiple Decision Trees"
"fold10","1","0.703703703703704","1","0.698376623376623","1","0.707417582417582","1","0.702868030739868","Multiple Decision Trees"
"fold1","0.632231404958678","0.589285714285714","0.635082492909513","0.583346800258565","0.632231404958678","0.589285714285714","0.633653741874457","0.586301218161683","Terbeam_Weighted_Aggregation"
"fold2","0.630165289256198","0.607142857142857","0.630210028050491","0.630063209494324","0.630165289256198","0.607142857142857","0.630187657859311","0.618390723273368","Terbeam_Weighted_Aggregation"
"fold3","0.641393442622951","0.480769230769231","0.642826509080804","0.477291825821238","0.641393442622951","0.480769230769231","0.642109176269426","0.479024217452575","Terbeam_Weighted_Aggregation"
"fold4","0.640495867768595","0.571428571428571","0.640137766011067","0.578205128205128","0.640495867768595","0.571428571428571","0.640316766822089","0.574796877489246","Terbeam_Weighted_Aggregation"
"fold5","0.618852459016393","0.730769230769231","0.619368167888084","0.738141025641026","0.618852459016393","0.730769230769231","0.619110206057953","0.734436630356334","Terbeam_Weighted_Aggregation"
"fold6","0.633196721311475","0.596153846153846","0.632490346561864","0.63074494949495","0.633196721311475","0.596153846153846","0.632843336824248","0.61296176818673","Terbeam_Weighted_Aggregation"
"fold7","0.617768595041322","0.678571428571429","0.625888543823326","0.684862196626903","0.617768595041322","0.678571428571429","0.621802061496109","0.681702300061849","Terbeam_Weighted_Aggregation"
"fold8","0.639344262295082","0.5","0.644103300894975","0.524244281045752","0.639344262295082","0.5","0.641714958309588","0.511835204498774","Terbeam_Weighted_Aggregation"
"fold9","0.621900826446281","0.660714285714286","0.627713327515699","0.672619047619048","0.621900826446281","0.660714285714286","0.62479355874075","0.666613520408163","Terbeam_Weighted_Aggregation"
"fold10","0.625","0.692307692307692","0.625284927917693","0.694139194139194","0.625","0.692307692307692","0.62514243149268","0.693222233512854","Terbeam_Weighted_Aggregation"
"fold1","0.632231404958678","0.589285714285714","0.633084768251636","0.580872252747253","0.632231404958678","0.589285714285714","0.632657798839567","0.585048737029661","Terbeam_Aggregation_ovo"
"fold2","0.642561983471074","0.571428571428571","0.645727999864192","0.578738512949039","0.642561983471074","0.571428571428571","0.64414110137122","0.575060312848582","Terbeam_Aggregation_ovo"
"fold3","0.639344262295082","0.461538461538462","0.648430781655975","0.465007215007215","0.639344262295082","0.461538461538462","0.643855464810543","0.46326634520351","Terbeam_Aggregation_ovo"
"fold4","0.638429752066116","0.517857142857143","0.645959967320261","0.539342948717949","0.638429752066116","0.517857142857143","0.642172785341098","0.528381714434206","Terbeam_Aggregation_ovo"
"fold5","0.620901639344262","0.692307692307692","0.619673156763321","0.708952505827506","0.620901639344262","0.692307692307692","0.620286789799676","0.700531241689976","Terbeam_Aggregation_ovo"
"fold6","0.635245901639344","0.596153846153846","0.634108114496605","0.634018759018759","0.635245901639344","0.596153846153846","0.634676498139473","0.614503558498099","Terbeam_Aggregation_ovo"
"fold7","0.621900826446281","0.696428571428571","0.63162091503268","0.701767676767677","0.621900826446281","0.696428571428571","0.626723184866551","0.699087930233758","Terbeam_Aggregation_ovo"
"fold8","0.64344262295082","0.480769230769231","0.641032276901842","0.502556818181818","0.64344262295082","0.480769230769231","0.642235188392035","0.491421650332244","Terbeam_Aggregation_ovo"
"fold9","0.62603305785124","0.660714285714286","0.63406279120876","0.693621595795509","0.62603305785124","0.660714285714286","0.630022340516751","0.676768154013821","Terbeam_Aggregation_ovo"
"fold10","0.625","0.692307692307692","0.629262058086126","0.700549450549451","0.625","0.692307692307692","0.627123787677906","0.696404187528448","Terbeam_Aggregation_ovo"
"fold1","0.65702479338843","0.660714285714286","0.676187057698163","0.6693126114082","0.65702479338843","0.660714285714286","0.666468215856281","0.664985655437322","Terbeam_Aggregation_ova"
"fold2","0.648760330578512","0.607142857142857","0.667955693725584","0.693673722349352","0.648760330578512","0.607142857142857","0.65821809513139","0.647530254997997","Terbeam_Aggregation_ova"
"fold3","0.663934426229508","0.615384615384615","0.68068428796738","0.658730158730159","0.663934426229508","0.615384615384615","0.672205030918362","0.63632007666507","Terbeam_Aggregation_ova"
"fold4","0.667355371900826","0.589285714285714","0.683130978929261","0.63786231884058","0.667355371900826","0.589285714285714","0.675151034618151","0.612612565113778","Terbeam_Aggregation_ova"
"fold5","0.663934426229508","0.615384615384615","0.684345530734288","0.612715389185977","0.663934426229508","0.615384615384615","0.673985480454632","0.61404710155715","Terbeam_Aggregation_ova"
"fold6","0.665983606557377","0.557692307692308","0.678143698317345","0.602633477633478","0.665983606557377","0.557692307692308","0.672008647293475","0.579292572972844","Terbeam_Aggregation_ova"
"fold7","0.667355371900826","0.571428571428571","0.68623770534692","0.588758828890408","0.667355371900826","0.571428571428571","0.676664836370677","0.579964265111492","Terbeam_Aggregation_ova"
"fold8","0.655737704918033","0.673076923076923","0.67298898142148","0.68225351037851","0.655737704918033","0.673076923076923","0.664251353795246","0.677634150593428","Terbeam_Aggregation_ova"
"fold9","0.646694214876033","0.767857142857143","0.667154063134923","0.787421679197995","0.646694214876033","0.767857142857143","0.656764833932821","0.777516355573844","Terbeam_Aggregation_ova"
"fold10","0.655737704918033","0.711538461538462","0.671852730904603","0.737318563789152","0.655737704918033","0.711538461538462","0.663697411368148","0.724199154742205","Terbeam_Aggregation_ova"
"fold1","0.632231404958678","0.589285714285714","0.635320090563735","0.580872252747253","0.632231404958678","0.589285714285714","0.633771984608861","0.585048737029661","Terbeam_voting"
"fold2","0.640495867768595","0.571428571428571","0.653973377381021","0.623674242424242","0.640495867768595","0.571428571428571","0.647164461284366","0.596409408888185","Terbeam_voting"
"fold3","0.639344262295082","0.480769230769231","0.641713819633958","0.477291825821238","0.639344262295082","0.480769230769231","0.640526849494023","0.479024217452575","Terbeam_voting"
"fold4","0.636363636363636","0.553571428571429","0.638646903538813","0.562728937728938","0.636363636363636","0.553571428571429","0.637503225533226","0.558112621586781","Terbeam_voting"
"fold5","0.614754098360656","0.711538461538462","0.620292303859616","0.721190268065268","0.614754098360656","0.711538461538462","0.617510783876219","0.716331854331702","Terbeam_voting"
