Folds,Accuracy.empirique,Accuracy.generalization,Precision.empirique,Precision.generalization,Recall.empirique,Recall.generalization,F1.empirique,F1.generalization,Methods
Fold1,1.0,0.7407407407407407,1.0,0.7585978835978835,1.0,0.7407407407407407,1.0,0.7355877616747182,Artificial Neural Network
Fold2,1.0,0.7222222222222222,1.0,0.7870645694175106,1.0,0.7222222222222222,1.0,0.735681539239044,Artificial Neural Network
Fold3,1.0,0.7037037037037037,1.0,0.7382181861348528,1.0,0.7037037037037037,1.0,0.7137447737447737,Artificial Neural Network
Fold4,1.0,0.7777777777777778,1.0,0.7737373737373737,1.0,0.7777777777777778,1.0,0.7751322751322751,Artificial Neural Network
Fold5,1.0,0.6111111111111112,1.0,0.6416198180904062,1.0,0.6111111111111112,1.0,0.610632183908046,Artificial Neural Network
Fold6,1.0,0.5185185185185185,1.0,0.5169623404917523,1.0,0.5185185185185185,1.0,0.5166666666666666,Artificial Neural Network
Fold7,1.0,0.7037037037037037,1.0,0.7373456790123456,1.0,0.7037037037037037,1.0,0.7058861310983552,Artificial Neural Network
Fold8,1.0,0.7222222222222222,1.0,0.7694250194250195,1.0,0.7222222222222222,1.0,0.7258274412318059,Artificial Neural Network
Fold9,1.0,0.8333333333333334,1.0,0.84673721340388,1.0,0.8333333333333334,1.0,0.8370235068263742,Artificial Neural Network
Fold10,1.0,0.7222222222222222,1.0,0.7843219159008633,1.0,0.7222222222222222,1.0,0.7129702165934051,Artificial Neural Network
