"k","mean_accuracy","sd_accuracy","algorithm"
"k_1",NA,NA,"Weighted voting"
"k_2",0.561962906690925,0.0421719185015147,"Weighted voting"
"k_3",0.574414826976302,0.0417154033075777,"Weighted voting"
"k_4",0.59264301272498,0.0290304500759409,"Weighted voting"
"k_1",NA,NA,"Maximization"
"k_2",0.547248811173923,0.0067935372091994,"Maximization"
"k_3",0.535745848786087,0.028600872318284,"Maximization"
"k_4",0.511484882479666,0.0282862030577432,"Maximization"
"k_1",NA,NA,"Predomics_Aggregation_ova"
"k_2",0.551575510927225,0.0117468540523057,"Predomics_Aggregation_ova"
"k_3",0.617116434236404,0.0139105078863466,"Predomics_Aggregation_ova"
"k_4",0.620399989354907,0.0313753229793573,"Predomics_Aggregation_ova"
"k_1",NA,NA,"Ranking"
"k_2",0.547248811173923,0.0067935372091994,"Ranking"
"k_3",0.535745848786087,0.028600872318284,"Ranking"
"k_4",0.511484882479666,0.0282862030577432,"Ranking"
"k_1",NA,NA,"Voting"
"k_2",0.552285884756079,0.0535460963469571,"Voting"
"k_3",0.574140957775458,0.0438534751308086,"Voting"
"k_4",0.588009242992477,0.0283051132169686,"Voting"
