Fold,Accuracy.empirique,Accuracy.generalization,Precision.empirique,Precision.generalization,Recall.empirique,Recall.generalization,F1.empirique,F1.generalization,Methods
Fold1,1.0,0.7962962962962963,1.0,0.8203542780748664,1.0,0.8043560606060607,1.0,0.8023359542756094,SVM
Fold2,1.0,0.8148148148148148,1.0,0.8083333333333333,1.0,0.8224049707602339,1.0,0.8034262125902993,SVM
Fold3,1.0,0.7407407407407407,1.0,0.7277183600713012,1.0,0.72937552213868,1.0,0.7241452991452992,SVM
Fold4,1.0,0.7592592592592593,1.0,0.7709429824561403,1.0,0.7459159261790841,1.0,0.7511246063877642,SVM
Fold5,1.0,0.6481481481481481,1.0,0.6588480963480964,1.0,0.6588480963480965,1.0,0.6502321603128055,SVM
Fold6,1.0,0.5925925925925926,1.0,0.6055555555555556,1.0,0.5914186507936509,1.0,0.5968828557063851,SVM
Fold7,1.0,0.6666666666666666,1.0,0.723970473970474,1.0,0.7124160561660562,1.0,0.6618844118844119,SVM
Fold8,1.0,0.7592592592592593,1.0,0.7199012180629828,1.0,0.7584433229813664,1.0,0.7272034368070953,SVM
Fold9,1.0,0.9074074074074074,1.0,0.9083333333333333,1.0,0.9078525641025641,1.0,0.9062826420890937,SVM
Fold10,1.0,0.6666666666666666,1.0,0.6882936507936508,1.0,0.6916666666666667,1.0,0.6648039215686274,SVM
