feature,Bact1 vs Bact2,Bact1 vs Prev,Bact1 vs Rum,Bact2 vs Prev,Bact2 vs Rum,Prev vs Rum
CAG00008,1,0,0,1,1,0
CAG00036,1,0,0,1,0,0
CAG00082,1,0,0,1,1,0
CAG00118,0,1,1,0,0,0
CAG00140,0,1,0,0,0,0
CAG00159,0,1,1,0,0,0
CAG00208,1,0,0,0,0,0
CAG00239,1,1,1,1,1,0
CAG00254,1,0,0,1,1,0
CAG00268,1,0,0,0,0,0
CAG00273,0,1,0,0,0,0
CAG00284,0,1,0,0,0,0
CAG00301,0,0,0,0,0,1
CAG00321,0,0,0,0,1,0
CAG00357,0,0,1,0,0,0
CAG00369,0,0,0,1,0,0
CAG00439,0,0,0,0,1,1
CAG00455,0,0,0,1,0,0
CAG00463,1,0,0,0,0,0
CAG00509,0,0,0,0,1,0
CAG00518,0,0,0,0,0,1
CAG00580,1,0,0,0,0,0
CAG00604,0,0,0,0,1,0
CAG00618,1,0,0,0,0,0
CAG00628,0,0,0,1,0,0
CAG00670,0,0,1,0,1,0
CAG00676,0,0,1,0,0,0
CAG00686,0,1,1,1,0,1
CAG00721,0,0,1,0,0,1
CAG00727,1,1,1,1,1,0
CAG00755,1,0,0,0,0,0
CAG00766,0,0,0,0,1,0
CAG00807,0,1,0,0,0,0
CAG00831,0,0,1,0,0,0
CAG00849,0,0,1,0,0,0
CAG00862,0,0,0,0,1,0
CAG00880,0,0,0,0,0,1
CAG00965,0,0,1,0,0,0
CAG01003,0,0,0,0,0,1
CAG01028,1,0,0,1,1,0
CAG01046,0,0,0,0,0,1
CAG01165,0,1,1,0,0,0
CAG01214,1,0,0,0,0,0
CAG01245,0,0,0,0,0,1
CAG01263,1,0,0,1,1,0
CAG01471,0,1,1,0,0,0
CAG01477,1,0,0,1,1,0
CAG01709,0,1,1,1,0,1
CAG01771,1,0,0,1,1,0
CAG02022,1,0,0,0,0,0
CAG02112,0,0,1,0,0,0
CAG02124,0,1,0,0,0,0
CAG02125,0,0,1,0,0,0
CAG02167,0,1,0,1,0,1
CAG02260,0,1,0,0,0,1
CAG02265,0,0,1,0,0,0
CAG02525,0,0,1,0,0,0
CAG02654,0,1,1,1,0,1
CAG02713,0,0,0,0,1,0
CAG02800,0,0,0,0,0,1
CAG02907,0,0,0,0,1,0
CAG02943,0,1,0,0,0,1
CAG03038,0,0,0,0,1,0
CAG03149,0,0,0,0,0,1
CAG03248,0,1,0,0,0,1
CAG03377,1,0,0,0,0,0
CAG03410,0,1,0,0,0,1
CAG50001,1,0,0,1,0,0
CAG50003,0,0,0,1,0,0
CAG50009,0,1,0,0,0,1
