cag_name	gtdb_r214_classification	superkingdom	phylum	class	order	family	genus	species
CAG00001	d__Eukaryota;p__Heterokonta;c__Blastocystae;o__Blastocystida;f__Blastocystidae;g__Blastocystis;s__Blastocystis sp. subtype 2	Eukaryota	Heterokonta	Blastocystae	Blastocystida	Blastocystidae	Blastocystis	Blastocystis sp. subtype 2
CAG00002	d__Eukaryota;p__Heterokonta;c__Blastocystae;o__Blastocystida;f__Blastocystidae;g__Blastocystis;s__Blastocystis sp. subtype 3	Eukaryota	Heterokonta	Blastocystae	Blastocystida	Blastocystidae	Blastocystis	Blastocystis sp. subtype 3
CAG00003	d__Eukaryota;p__Heterokonta;c__Blastocystae;o__Blastocystida;f__Blastocystidae;g__Blastocystis;s__Blastocystis sp. subtype 1	Eukaryota	Heterokonta	Blastocystae	Blastocystida	Blastocystidae	Blastocystis	Blastocystis sp. subtype 1
CAG00004	d__Eukaryota;p__Heterokonta;c__Blastocystae;o__Blastocystida;f__Blastocystidae;g__Blastocystis;s__Blastocystis sp. subtype 4	Eukaryota	Heterokonta	Blastocystae	Blastocystida	Blastocystidae	Blastocystis	Blastocystis sp. subtype 4
CAG00005_1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__;s__	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	unclassified Anaerovoracaceae	Anaerovoracaceae bacterium
CAG00005_2	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Thermophilibacter;s__Thermophilibacter avistercoris	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Thermophilibacter	Thermophilibacter avistercoris
CAG00005_3	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	unclassified Lachnospiraceae	Lachnospiraceae bacterium
CAG00005_4	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum sp900557315	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum sp900557315
CAG00005_5	d__;p__;c__;o__;f__;g__;s__	unclassified	unclassified	unclassified 	unclassified 	unclassified 	unclassified 	unclassified
CAG00006_1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter avistercoris	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter avistercoris
