signature,n_features,features,sets
001000,9,"CAG00357, CAG00676, CAG00831, CAG00849, CAG00965, CAG02112, CAG02125, CAG02265, CAG02525",Bact1 vs Rum
100000,9,"CAG00208, CAG00268, CAG00463, CAG00580, CAG00618, CAG00755, CAG01214, CAG02022, CAG03377",Bact1 vs Bact2
000001,8,"CAG00301, CAG00518, CAG00880, CAG01003, CAG01046, CAG01245, CAG02800, CAG03149",Prev vs Rum
000010,8,"CAG00321, CAG00509, CAG00604, CAG00766, CAG00862, CAG02713, CAG02907, CAG03038",Bact2 vs Rum
100110,7,"CAG00008, CAG00082, CAG00254, CAG01028, CAG01263, CAG01477, CAG01771",Bact1 vs Bact2 & Bact2 vs Prev & Bact2 vs Rum
010000,5,"CAG00140, CAG00273, CAG00284, CAG00807, CAG02124",Bact1 vs Prev
010001,5,"CAG02260, CAG02943, CAG03248, CAG03410, CAG50009",Bact1 vs Prev & Prev vs Rum
000100,4,"CAG00369, CAG00455, CAG00628, CAG50003",Bact2 vs Prev
011000,4,"CAG00118, CAG00159, CAG01165, CAG01471",Bact1 vs Prev & Bact1 vs Rum
011101,3,"CAG00686, CAG01709, CAG02654",Bact1 vs Prev & Bact1 vs Rum & Bact2 vs Prev & Prev vs Rum
100100,2,"CAG00036, CAG50001",Bact1 vs Bact2 & Bact2 vs Prev
111110,2,"CAG00239, CAG00727",Bact1 vs Bact2 & Bact1 vs Prev & Bact1 vs Rum & Bact2 vs Prev & Bact2 vs Rum
000011,1,CAG00439,Bact2 vs Rum & Prev vs Rum
001001,1,CAG00721,Bact1 vs Rum & Prev vs Rum
001010,1,CAG00670,Bact1 vs Rum & Bact2 vs Rum
